d,u_*,threshold_type,p,rho_f,rho_s,sediment,nu,T,g,gamma,molecular_mass,fluid1,fluid1_proportion,fluid2,fluid2_proportion,flow_depth,tunnel,ref,reffull
m,m/s,word,Pa,kg/m^3,kg/m^3,word,m^2/s,K,m/s^2,unitless,g/mol,word,%,word,%,m,word,word,string
0.000237447456265,0.188473520249221,dynamic(impact),,1.25,2650,quartz,1.449882056E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.3,Bagnold,bagnold1937,"Bagnold, 1937"
0.000469562942662,0.249221183800623,dynamic(impact),,1.25,2650,quartz,1.449882056E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.3,Bagnold,bagnold1937,"Bagnold, 1937"
0.000638382780224,0.301401869158878,dynamic(impact),,1.25,2650,quartz,1.449882056E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.3,Bagnold,bagnold1937,"Bagnold, 1937"
0.000959460289682,0.378504672897196,dynamic(impact),,1.25,2650,quartz,1.449882056E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.3,Bagnold,bagnold1937,"Bagnold, 1937"
2.05083323644174E-05,0.25123794539695,impact,97832.31,1.1626,2580,clay loam,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,chepil1945,"Chepil, 1945"
7.07106781186549E-05,0.165119088591236,impact,97832.31,1.1626,2070,clay loam,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,chepil1945,"Chepil, 1945"
0.000122474487139,0.129213404226925,impact,97832.31,1.1626,2090,clay loam,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,chepil1945,"Chepil, 1945"
0.000164316767252,0.13984603822354,impact,97832.31,1.1626,1960,clay loam,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,chepil1945,"Chepil, 1945"
0.000212132034356,0.185482500193155,impact,97832.31,1.1626,1940,clay loam,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,chepil1945,"Chepil, 1945"
0.00032403703492,0.196570276667627,impact,97832.31,1.1626,1910,clay loam,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,chepil1945,"Chepil, 1945"
0.000497795138586,0.248663018971294,impact,97832.31,1.1626,1910,clay loam,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,chepil1945,"Chepil, 1945"
0.000699785681477,0.284046132342509,impact,97832.31,1.1626,1800,clay loam,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,chepil1945,"Chepil, 1945"
0.000993830971544,0.367543705618341,impact,97832.31,1.1626,1780,clay loam,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,chepil1945,"Chepil, 1945"
0.001542724862054,0.43325279371791,impact,97832.31,1.1626,1740,clay loam,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,chepil1945,"Chepil, 1945"
0.002449489742783,0.497453168789026,impact,97832.31,1.1626,1650,clay loam,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,chepil1945,"Chepil, 1945"
0.000199933860263,0.224824939861913,sustain,97832.31,1.1626,2650,quartz,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,zingg1953,"Zingg, 1953"
0.000272217019117,0.266102123599376,sustain,97832.31,1.1626,2650,quartz,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,zingg1953,"Zingg, 1953"
0.000361288563632,0.313533927656852,sustain,97832.31,1.1626,2650,quartz,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,zingg1953,"Zingg, 1953"
0.000499208595136,0.370914827019214,sustain,97832.31,1.1626,2650,quartz,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,zingg1953,"Zingg, 1953"
0.000709629895161,0.449764410521674,sustain,97832.31,1.1626,2650,quartz,1.55887886633408E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.9144,WERU,zingg1953,"Zingg, 1953"
0.000526,0.309,impact,,1.16,2650,quartz,1.56237290517241E-05,303.15,9.81,1.4,28.964,air,100,none,0,-9999,field,martin2017,"Martin \& Kok, 2017"
